001:001-004	hak untuk allah, segala pujian hanya untuk allah yang memiliki kekuasaan yang sifat kemahaagungan
014:028-030	akibat orang yang kufur terhadap nikmat allah serta mempersekutukannya dengan menyesatkan manusia dari jalannya.
014:031-034	perintah-perintah allah untuk mendirikan salat dan memberikan sedekah serta beberapa nikmat allah atas hamba-hambanya.
014:035-041	permohonan-permohonan nabi ibrahim as untuk diri dan anak cucunya agar tidak menyekutukan allah.
014:042-052	orang-orang yang zalim pasti akan diazab allah dan segala makar kejahatan pasti akan gagal.
015:001-015	jaminan allah terhadap kemurnian al-quran dan kejayaan islam; serta keingkaran kaum yang mendustakannya.
015:016-022	kekuasaan allah meliputi alam semesta; serta penjagaannya dari setan yang terkutuk.
015:023-027	asal kejadian nabi adam dari tanah liat yang kering dan kejadian jin (sebelum adam) dari api yang sangat panas.
015:028-044	kisah pembangkangan iblis setelah diciptakan oleh allah manusia yang pertama; dan ancaman allah terhadap pengikutnya.
015:045-050	keadaan orang-orang bertakwa di dalam surga serta balasan bagi mereka.
015:051-058	kisah nabi ibrahim as dan tamunya, malaikat yang memberikan berita gembira untuknya.
015:059-077	berita kaum nabi lut as yang dibinasakan karena melakukan perbuatan keji (homoseksual), termasuk istri nabi lut juga dibinasakan.
015:078-079	kisah nabi syuaib dan kaumnya, penduduk aikah di daerah madyan.
015:080-086	kisah nabi shaleh as dan kaumnya tsamud, penduduk kota al-hijr yang terletak antara madinah dan syiria.
015:087-099	anugerah allah yang terbesar dan perintah allah kepada nabi muhammad untuk berdakwah terang-terangan; serta janji allah untuk melindungi beliau.
016:001-002	kepastian datangnya hari kiamat dan perintah allah kepada manusia semua untuk berdakwah tauhid.
016:003-021	alam semesta ini merupakan suatu kesatuan yang membuktikan kekuasaan allah dan sebagai nikmat yang tak terbilang.
016:022-025	ketakaburan menjadikan seseorang ingkar kepada kebenaran; dan beratnya dosa yang akan dipikulnya.
016:026-029	orang yang membuat makar pasti mengalami kehinaan dan kehancuran dan nerakalah tempat kembali mereka.
016:030-035	balasan bagi orang yang bertakwa dan kebinasaan bagi orang-orang kafir akibat perbuatannya sendiri.
016:036-042	tiap-tiap umat mempunyai rasul yang diutus untuk menerangkan kebenaran, yaitu menauhidkan allah.
016:043-050	nabi sebagai utusan allah dipilih dari kaum laki-laki yang diberi wahyu, membawa keterangan (mukjizat) dan kitab.
016:051-060	fitrah manusia akan segera mengingat allah jika dalam keadaan terjepit, namun akan segera lupa jika telah terlepas.
016:061-064	ditangguhkannya azab allah terhadap ketidakwajaran sikap orang-orang musyrik menisbahkan sesuatu kepada allah.
016:065-083	berbagai segi pelajaran yang dapat diambil dari kehidupan alam ini, termasuk kehidupan tumbuhan dan binatang.
016:084-089	tiap-tiap rasul akan menjadi saksi atas umatnya di hari kiamat nanti dan muhammad adalah saksi bagi semua manusia.
016:090-100	pokok-pokok akhlak yang terpuji dan yang tidak terpuji; serta balasan bagi orang yang beriman dan beramal saleh.
016:101-103	allah lebih mengetahui apa yang bermanfaat dan yang sesuai dengan suatu masa, berkenaan dengan diturunkannya ayat.
016:104-113	orang-orang yang tidak beriman kepada ayat-ayat allah tidak adam diberi hidayah dalam hidupnya, di akhirat akan merugi.
016:114-119	makanan yang dihalalkan dan yang diharamkan oleh allah serta perintah untuk bersyukur, jangan seperti orang yahudi.
016:120-124	nabi ibrahim as adalah seorang imam yang dapat dijadikan teladan, seseorang yang patuh dan hanif (berpegang pada kebenaran).
016:125-128	dasar-dasar dakwah yang baik dan sikap islam terhadap lawan.
017:001-003	peristiwa isra dari mekah ke baitul maqdis sebagai penghormatan terhadap nabi muhammad dan penghormatan terhadap nabi musa dengan diturunkan taurat kepadanya.
017:004-008	kehancuran dan azab allah kepada bani israil karena tidak mengikuti ajaran taurat dengan kesombongannya.
017:009-012	al-quran adalah petunjuk kepada jalan yang benar dan berisi berita gembira bagi orang-orang mukmin.
017:013-022	tiap-tiap orang akan memikul dosa mereka masing-masing dan kehidupan akhirat lebih tinggi tingkatannya dan lebih besar keutamaannya.
017:023-035	beberapa tata krama pergaulan antara sesama umat manusia; sikap terhadap harta dan anak,; serta perintah untuk menjauhi perbuatan-perbuatan tercela.
017:036-041	larangan berbuat tanpa mengetahui ilmu tentangnya; dan peringatan dalam al-quran selalu diulang-ulang agar manusia selalu mengingatnya.
017:042-044	sanggahan-sanggahan terhadap orang yang mempersekutukan allah, padahal bertasbih dengan memuji kepadanya segala yang ada di alam semesta ini.
017:045-057	orang-orang kafir tidak dapat memahami al-quran dan cara-cara membantah keingkaran kaum musyrikin.
017:058-060	keingkaran kaum suatu negeri; datangnya hukuman di dunia dan azab yang keras dari allah di akhirat nanti.
017:061-065	kisah mulainya permusuhan setan terhadap manusia yang menyebabkan kekufurannya serta tipu dayanya.
017:066-072	beberapa peringatan tentang nikmat allah dan beberapa kejadian di hari kiamat yang manusia akan menerima kitab amalnya.
017:073-077	perlawanan untuk memusuhi nabi muhammad akan gagal seperti halnya umat terdahulu kepada nabi-nabi mereka.
017:078-081	perintah untuk mendirikan salat fardu, salat tahajud, dan berdoa, serta hikmahnya.
017:082-084	fungsi diturunkannya al-quran bagi orang beriman, dan perintah untuk berbuat / beramal menurut keadaan atau kemampuannya.
017:085-089	sedikitnya ilmu manusia dan tantangan nabi muhammad terhadap manusia untuk menandingi al-quran.
017:090-100	keingkaran orang-orang kafir dan bantahan-bantahan terhadap mereka, serta balasan bagi mereka di akhirat kelak.
017:101-105	beberapa kisah pengalaman nabi musa as sebagai pelipur kesusahan hati nabi muhammad saw.
017:106-111	manfaat al-quran diturunkan berangsur-angsur dan sikap orang beriman jika dibacakan atau membaca al-quran.
018:001-008	al-quran adalah kitab suci yang tidak ada kebengkokan isinya; ancaman terhadap kepercayaan bahwa allah mempunyai anak.
018:009-026	kisah ashhabul kahfi, yaitu pemuda-pemuda yang bersembunyi di dalam gua kahfi untuk mempertahankan imannya. dan dihidupkan kembali setelah 309 tahun.
018:027-031	teguran allah terhadap nabi muhammad saw agar jangan mementingkan orang-orang terkemuka saja dalam berdakwah.
018:032-046	perumpamaan kehidupan dunia dan orang-orang yang tertipu olehnya; harta dan anak adalah perhiasan dunia.
018:047-053	beberapa kejadian pada hari kiamat dan kedurhakaan iblis terhadap perintah allah untuk menghormati adam as.
018:054-059	akibat orang-orang yang tidak mengindahkan peringatan allah yang disampaikan para rasulnya.
018:060-064	kisah perjalanan nabi musa as dan muridnya mencari ilmu melalui sebuah pantai, dan sudah terlampaui tempat yang dicari.
018:065-070	nabi musa as bertemu dengan khidir as untuk mencari ilmu kepadanya dengan syarat-syarat yang disetujui musa as.
018:071-077	khidir membocorkan perahu yang asuh bagus, membunuh seorang pemuda, dan membetulkan dinding rumah, tetapi musa senantiasa menanyakan itu semua.
018:078-082	khidir menjelaskan hikmah semua perbuatannya kepada nabi musa dan setelah itu mereka berpisah karena musa tidak sabar.
018:083-101	kisah dzulqarnain dengan yakjuj dan makjuj (yaitu dua bangsa yang membuat kerusakan di muka bumi).
018:102-106	kecelakaanlah bagi orang-orang musyrik dan merugilah orang-orang yang teperdaya oleh dirinya sendiri.
018:107-108	surga firdaus adalah tempat kembalinya orang yang beriman dan beramal saleh.
018:109-110	perumpamaan sangat luasnya ilmu allah yang tidak terhingga.
019:001-006	kisah nabi zakaria as dan nabi yahya as; nabi zakaria berdoa memohon keturunan dengan sabar meskipun sampai usia lanjut.
019:007-011	allah mengabulkan doa nabi zakaria sebagai bukti kekuasaannya dengan lahirnya yahya dari istrinya yang mandul.
019:012-015	kisah pengangkatan yahya sebagai nabi dan sifat-sifat keutamaannya yang pantas untuk dicontoh.
019:016-022	kisah maryam dan nabi isa as; berita kehamilan maryam tanpa sentuhan seorang laki-laki yang disampaikan jibril.
019:023-026	menjelang kelahiran isa di bawah pohon kurma yang menyedihkan hati maryam; dan berita pelipur dari jibril kepadanya.
019:027-036	berbagai tuduhan orang-orang kepada maryam dan pembelaan isa kepada ibunya ketika masih dalam ayunan.
019:037-040	ada beberapa golongan yang berselisih pendapat tentang isa as, baik dari golongan yahudi maupun nasrani.
019:041-050	kisah nabi ibrahim as menyeru bapaknya, dan ibrahim menjauhkan diri dari bapaknya, serta anugerah yang diterimanya.
019:051-058	kisah beberapa nabi; di antaranya nabi musa, nabi ismail as, nabi idris as, nabi nuh as.
019:059-065	generasi yang menyia-nyiakan salat dan generasi yang beriman dan beramal saleh, serta balasan bagi mereka.
019:066-077	azab bagi orang yang menentang para nabi dan pahala bagi orang yang menaatinya.
019:078-087	jangan tergesa-gesa memintakan siksa bagi orang-orang yang menyekutukan allah karena allah telah membuat perhitungan.
019:088-098	besarnya kepalsuan keyakinan yang mengajarkan bahwa allah, rabb semesta alam, mempunyai anak.
020:001-008	al-quran diturunkan bukan untuk kesusahan manusia, tetapi sebagai peringatan bagi orang-orang yang takut kepada allah.
020:009-016	kisah nabi musa as menerima permulaan wahyu di lembah suci thuwa, yaitu perintah mendirikan salat, tentang dirahasiakan datangnya hari kiamat.
020:017-023	nabi musa menerima dua mukjizat yakni tongkat yang bisa menjadi ular dan tangannya bercahaya putih cemerlang.
020:024-036	perintah allah kepada nabi musa as untuk menyeru firaun dan permohonan musa untuk ditemani nabi harun as dan doa lainnya.
020:037-041	nikmat-nikmat allah kepada nabi musa sejak kecil, mulai ibunya menerima ilham hingga ia tinggal di madyan.
020:042-056	nabi musa as dan nabi harun as diperintah untuk menghadap firaun agar bani israil dilepaskan dari perbudakan dan dibebaskan dari kerja paksa untuk mendirikan berbagai bangunan yang besar.
020:057-069	nabi musa as menundukkan tukang-tukang sihir firaun dengan mukjizat yang datang dari allah.
020:070-076	tukang-tukang sihir firaun mengakui kenabian musa dan menjadi orang yang beriman.
020:077-079	nabi musa beserta pengikutnya dikejar pasukan firaun dan pembelahan laut yang menenggelamkan firaun dan pasukannya.
020:080-082	allah menyelamatkan bani israil dari kekejaman firaun dan diberinya beberapa nikmat agar tetap di jalan yang benar.
020:083-091	teguran allah terhadap nabi musa as dan pengkhianatan samiri dengan membuat patung anak lembu untuk disembah.
020:092-096	teguran nabi musa as kepada nabi harun as serta hardikan kepada samiri yang telah menyesatkan umatnya.
020:097-098	hukuman di dunia berupa pengusiran terhadap samiri dan di akhirat azab yang pedih.
020:099-104	kisah umat-umat terdahulu merupakan peringatan dan pelajaran bagi umat yang hidup kemudian.
020:105-112	keadaan hari kiamat yang membuat semua muka manusia tunduk dalam pengadilan allah yang hidup kekal.
020:113-114	al-quran diturunkan dalam bahasa arab dan keterangannya diulang-ulang agar menjadi pelajaran bagi manusia.
020:115-123	kisah nabi adam as dan pembangkangan iblis terhadap perintah allah serta godaannya yang membuat adam dan hawa dikeluarkan dari surga.
020:124-127	akibat orang-orang yang berpaling dari peringatan allah dan melupakan ayat-ayat allah.
020:128-135	dibinasakannya umat-umat terdahulu yang membangkang hendaknya dijadikan pelajaran, dan perlunya sabar dalam dakwah.
021:001-006	ocehan kaum musyrikin terhadap kerasulan muhammad saw serta penolakan al-quran terhadapnya.
021:007-010	para rasul yang diutus oleh allah adalah laki-laki yang diberi wahyu; para rasul itu memiliki sifat seperti halnya manusia yang lain.
021:011-018	akibat penduduk suatu negeri yang zalim yang mendustakan para rasul diazab oleh allah dan diganti dengan kaum yang lain.
021:019-020	allah maha kaya, malaikat-malaikatnya tunduk patuh dan selalu bertasbih tiada henti-hentinya.
021:021-047	bukti-bukti kesalahan kepercayaan orang-orang musyrik dipaparkan di dalam kitab suci al-quran.
021:048-051	kisah nabi musa as dan nabi harun as.
021:052-075	kisah nabi ibrahim as dan nabi lut as.
021:076-077	kisah nabi nuh as.
021:078-082	kisah nabi dawud as dan nabi sulaiman as.
021:083-084	kisah nabi ayyub as.
021:085-085	kisah nabi ismail as dan nabi idris as.
021:086-086	kisah nabi dzulkifli as.
021:087-088	kisah nabi dzun nun (nabi yusuf as).
021:089-090	kisah nabi zakaria as.
021:091-091	kisah maryam.
021:092-104	agama tauhid dan sikap manusia; serta saat dekatnya hari kebangkitan.
021:105-112	diutusnya nabi muhammad saw untuk menjadi rahmat bagi seluruh alam.
022:001-002	kedahsyatan hari kiamat adalah kejadian yang sangat besar yang melupakan manusia terhadap sesuatu yang dicintainya.
022:003-004	celaan terhadap orang-orang yang membantah tentang allah dan yang berkawan dengan setan.
022:005-007	proses kejadian manusia dan tumbuh-tumbuhan merupakan bukti yang nyata tentang kebenaran adanya hari kebangkitan.
022:008-010	celaan terhadap orang-orang yang membantah tentang allah karena kesombongan dan untuk menyesatkan manusia.
022:011-013	celaan terhadap orang-orang yang tidak mempunyai pendirian yang tegas, tidak teguh keyakinannya.
022:014-018	balasan terhadap orang yang beriman dan beramal saleh serta pasti datangnya pertolongan allah terhadap nabi muhammad.
022:019-025	keadaan orang-orang kafir di dalam neraka dan balasan terhadap orang-orang yang beriman.
022:026-037	sejarah ibrahim dan pelaksanaan haji; manasik haji dan syirarnya; serta disyariatkannya penyembelihan kurban.
022:038-041	pertolongan allah terhadap orang-orang mukmin dan diizinkannya berperang bagi orang-orang yang diperangi.
022:042-048	ayat-ayat allah sebagai penawar hati nabi muhammad saw sebab nabi-nabi sebelumnya pun telah didustakan oleh kaumnya.
022:049-057	tugas rasul adalah memberi peringatan sedangkan setan menggoda; balasan bagi yang beriman dan mendustakan.
022:058-062	balasan bagi orang yang mati dalam berhijrah di jalan allah; pertolongan allah terhadap orang yang teraniaya.
022:063-066	sangat besar nikmat allah atas manusia, tetapi banyak juga manusia yang mengingkarinya.
022:067-070	tiap-tiap umat mempunyai syariat tertentu; dan allah akan mengadili manusia tentang apa-apa yang diperselisihkan.
022:071-077	kelemahan pendirian orang-orang kafir dalam menyembah selain allah; kunci untuk mendapatkan kemenangan.
022:078-078	agama islam bukan agama yang sempit; dan rasul-rasul yang terdahulu pun beragama islam.
023:001-011	sifat-sifat orang-orang beriman yang beruntung dan balasan bagi mereka adalah surga firdaus.
023:012-016	perkembangan proses kejadian manusia dalam rahim dan akan dibangkitkannya manusia di hari kiamat.
023:017-022	langit dan segala yang ada di bumi diciptakan oleh allah untuk kelanjutan hidup manusia yang wajib disyukuri.
023:023-050	kisah para nabi dan seruannya kepada kaumnya untuk menauhidkannya; serta akibat orang-orang yang mendustakannya.
023:051-056	agama yang dibawa nabi-nabi adalah satu dan hawa nafsu manusialah yang memecah umat menjadi beberapa golongan.
023:057-062	sifat-sifat orang muslim yang mukhlis dan kewajiban menjalankan agama menurut kadar kemampuan manusia.
023:063-077	celaan bagi orang-orang kafir yang mendustakan rasul dan mengingkari al-quran serta azab yang diancamkan kepada mereka.
023:078-083	meskipun dalil atas kemungkinan terjadinya hari berbangkit cukup banyak, namun orang-orang kafir tetap mengingkarinya.
023:084-092	sanggahan terhadap pendirian orang kafir yang batil, terutama anggapan bahwa allah mempunyai anak atau sekutu.
023:093-100	doa agar kita tidak dimasukkan ke dalam golongan orang-orang yang zalim, pedoman dalam menghadapi lawan, serta perintah berlindung dari godaan setan.
023:101-114	peristiwa-peristiwa hari kiamat dan kedahsyatannya; serta penyesalan orang-orang yang mendustakannya.
023:115-118	allah menciptakan manusia bukanlah dengan percuma atau main-main, tetapi akan diminta pertanggungjawabannya.
024:001-003	hukuman pelaku perzinaan bagi kaum yang merdeka tidak sama dengan hukuman bagi hamba sahaya; dan hukum perkawinan.
024:004-005	hukuman bagi orang yang menuduh wanita melakukan perbuatan zina, dengan tidak dapat mendatangkan empat saksi.
024:006-010	hukum lian atau seorang suami yang menuduh istrinya berzina dan tidak dapat mengajukan empat orang saksi.
024:011-026	kisah tuduhan yang bohong terhadap aisyah ra ummul mukminun berbuat yang tidak baik.
024:027-029	pedoman, aturan, dan tata cara memasuki rumah orang lain, dengan meminta izin dan memberi salam.
024:030-031	pedoman pergaulan antar laki-laki dan perempuan yang bukan muhrimnya ada batas-batas tertentu yang wajib ditaati.
024:032-033	anjuran menikah bagi orang-orang yang mampu dan kewajiban menjaga diri bagi orang yang tidak mampu.
024:034-035	pencerminan ayat-ayat al-quran sebagai nur ilahi pada langit dan bumi dan penerang bagi manusia.
024:036-040	orang-orang yang mendapat pandan nur ilahi dan orang-orang yang tidak mendapatkannya.
024:041-046	kekuasaan allah swt pada peristiwa yang terjadi di alam semesta ini sebagai pelajaran besar.
024:047-053	perbedaan sikap orang-orang munafik dan orang-orang mukmin dalam bertahkim kepada rasulullah.
024:054-057	kekuasaan yang dijanjikan allah kepada orang-orang yang taat dan mengerjakan amal saleh.
024:058-061	pedoman pergaulan dalam rumah tangga, jika hendak memasuki kamar orang dewasa hendaknya meminta izin terlebih dahulu.
024:062-064	adab pergaulan orang-orang mukmin terhadap rasulullah saw baik dalam berbicara maupun dalam tingkah laku.
025:001-003	al-quran adalah kitab untuk peringatan seluruh alam; dan ciptaan allah sangat harmonis, rapi menurut ukurannya.
025:004-006	tuduhan-tuduhan palsu dari orang-orang kafir terhadap al-quran sebagai dongengan orang-orang dahulu.
025:007-008	keheranan orang-orang kafir tentang diutusnya rasul dari kalangan manusia biasa dan tuduhan-tuduhannya.
025:009-016	ancaman terhadap orang-orang kafir dan yang mendustakan rasul dan balasan bagi orang-orang yang bertakwa.
025:017-018	tanya jawab antara allah dan sembahan-sembahan orang-orang kafir pada hari kiamat kelak.
025:019-020	para rasul diutus dari kalangan manusia biasa sebagai cobaan bagi manusia dan agar dapat dicontoh kaumnya.
025:021-034	keadaan manusia yang tidak membenarkan al-quran pada hari kiamat dan balasan bagi mereka adalah neraka jahannam.
025:035-044	pelajaran-pelajaran yang dapat diambil dari kisah-kisah umat terdahulu yang tidak beriman.
025:045-062	tanda-tanda kekuasaan allah pada alam dan sikap manusia; serta perintah untuk mengabdi dan bertawakal kepada allah.
025:063-077	sifat-sifat ibadurrahman (hamba allah yang baik) yang mendapat kemuliaan serta balasan bagi mereka.
026:001-009	penawar hati nabi muhammad saw agar tidak bersedih hati terhadap keingkaran kaum musyrikin.
026:010-017	kisah nabi musa as, perintah allah agar musa menyeru firaun dan permintaan musa kepada allah.
026:018-033	dialog nabi musa dengan firaun, musa menyeru firaun agar bertakwa kepada rabb semesta alam.
026:034-044	firaun mengumpulkan para ahli sihir dari seluruh negeri untuk mengalahkan mukjizat nabi musa as.
026:045-051	para ahli sihir kalah dan tersungkur sujud kepada allah, menyatakan keimanan mereka kepada allah, rabb semesta alam.
026:052-068	perintah allah kepada nabi musa untuk menyelamatkan bani israil dan ditenggelamkannya firaun di laut.
026:069-104	kisah nabi ibrahim as menyeru bapak dan kaumnya untuk bertakwa kepada allah, rabb semesta alam dan doa-doa nabi ibrahim as.
026:105-122	kisah nabi nuh as menyeru kaumnya untuk bertakwa kepada allah, rabb semesta alam dan doa-doa nabi nuh as.
026:123-140	kisah nabi hud as menyeru kaumnya, kaum ad untuk bertakwa kepada allah, rabb semesta alam tetapi juga didustakan.
026:141-159	kisah nabi shaleh as menyeru kaumnya, kaum tsamud, untuk bertakwa kepada allah, rabb semesta alam, tetapi didustakan.
026:160-191	kisah nabi lut as menyeru kaumnya untuk bertakwa kepada allah, tetapi didustakan yang akhirnya kaumnya diazab allah dengan hujan batu.
026:192-213	al-quran dibawa turun oleh jibril kepada nabi muhammad saw dalam bahasa arab dan telah tersebut dalam kitab-kitab yang terdahulu.
026:214-220	perintah memberikan peringatan kepada keluarga dan bersikap lemah lembut terhadap orang-orang mukmin.
026:221-227	setan turun untuk menggoda para pembohong, pendusta, lagi banyak dosa, dan peringatan bagi para penyair agar tidak menyesatkan manusia dengan syairnya.
027:001-005	al-quran adalah pedoman hidup dan berita gembira bagi orang-orang yang beriman, bagi orang-orang yang tidak memercayainya azab di dunia dan azab di akhirat.
027:006-014	nabi muhammad saw menerima wahyu dari allah sebagaimana nabi musa as juga telah menerima wahyu dari allah.
027:015-019	nabi dawud as mewarisi kerajaan nabi sulaiman as yang dapat menghimpun tentara dari jin, manusia, burung-burung; serta dapat berbahasa binatang, termasuk bahasa semut.
027:020-044	pembicaraan nabi sulaiman as dengan burung hudhud dan para jin yang cerdik, serta kisah ratu balqis.
027:045-053	pelajaran-pelajaran yang dapat diambil dari kisah keingkaran kaum nabi shaleh as bagi umat yang hidup kemudian.
027:054-058	kisah nabi lut as dan perbuatan keji kaumnya yang menyebabkan diturunkannya azab berupa hujan batu.
027:059-066	perintah allah kepada nabi muhammad saw untuk mensyukuri nikmat dan kewajiban menyembah allah semata-mata.
027:067-075	keingkaran orang-orang kafir terhadap hari kebangkitan dan allah mengetahui segala yang gaib dan yang tersembunyi.
027:076-081	kebenaran isi al-quran membuktikan kebenaran kenabian muhammad saw sebagai rasulullah.
027:082-093	tanda-tanda kedatangan hari kiamat dan huru-hara di saat datangnya kiamat tersebut; dan balasan bagi manusia sesuai dengan apa yang dikerjakannya.
028:001-006	kekejaman firaun dan pertolongan allah kepada bani israil kaum yang tertindas oleh kekejaman rajanya.
028:007-013	musa as dicampakkan ke sungai nil oleh ibunya atas ilham dari allah untuk menyelamatkan kaumnya dari kekejaman firaun.
028:014-019	setelah cukup umur dan sempurna akalnya, musa as diberi ilham dan hikmah sebagai persiapan untuk menjadi rasul.
028:020-022	musa as mendapat nasihat untuk meninggalkan kota memphis setelah membunuh secara tak sengaja salah seorang yang berkelahi. musa menuju kota madyan.
028:023-028	musa as bertemu dan membatu dua putri nabi syuaib yang sedang mencarikan minum gembalaannya dan akhirnya dijodohkan dengan salah satu dari mereka berdua.
028:029-032	musa as pulang ke mesir dan menerima wahyu serta mukjizat dari allah untuk menyeru firaun.
028:033-037	permohonan musa as kepada allah agar mengangkat harus as sebagai pembantunya untuk menghadapi tugas-tugasnya.
028:038-042	kesombongan dan keganasan firaun; serta laknat dunia dengan ditenggelamkannya ke laut dan azab akhirat yang menghinakan baginya.
028:043-047	taurat diturunkan untuk menjadi petunjuk bagi bani israil dan kisah musa tersebut diketahui nabi muhammad saw dengan wahyu.
028:048-051	orang-orang kafir (ahli kitab) senantiasa mengingkari bukti-bukti sekalipun pernah dimintanya karena mereka hanya mengikuti hawa nafsu.
028:052-055	sebagian ahli kitab ada yang beriman kepada nabi muhammad serta al-quran setelah menyaksikan bukti-bukti kebenaran.
028:056-057	hanya allahlah yang dapat memberi petunjuk kepada hambanya untuk beriman; sedangkan tugas rasul menyampaikan.
028:058-059	allah tidak akan membinasakan suatu umat (penduduk suatu negeri) sebelum diutus seorang rasul kepada mereka.
028:060-061	kehidupan duniawi adalah bayangan belaka sedangkan kehidupan akhirat adalah lebih baik dan kekal abadi selamanya.
028:062-067	permintaan pertanggungjawaban pada hari kiamat kepada orang-orang musyrik dan kemenangan bagi orang-orang mukmin.
028:068-075	allah sendirilah yang berhak menentukan segala sesuatu; dan bukti-bukti kebenaran allah mengharuskan kita mensyukuri dan memujinya, bukan menyekutukannya.
028:076-082	kisah qarun pada masa nabi musa as dan kekayaannya yang harus dijadikan pelajaran bagi manusia yang ingin bermewah-mewah.
028:083-084	sesuatu kebajikan akan dibalas oleh allah dengan pahala yang berlipat ganda, sedangkan balasan sesuatu kejahatan adalah seimbang.
028:085-088	janji allah atas kemenangan muhammad atas kaumnya yang mendustakan dan menyekutukannya.
029:001-005	cobaan itu adalah ukuran bagi sempurna atau tidaknya iman seseorang. dan allah mengetahui segala perbuatan manusia.
029:006-007	tiap-tiap usaha / amal manusia kemanfaatannya kembali kepada dirinya sendiri, termasuk iman, amal saleh, dan jihad.
029:008-009	ajakan ke arah kemungkaran termasuk mempersekutukan allah harus ditentang walaupun datangnya dari ibu bapak.
029:010-013	sikap orang yang lemah imannya (baik munafik maupun kafir) dalam menghadapi cobaan.
029:014-015	cobaan dari allah terhadap nabi nuh as dalam menyeru kaumnya, hingga 950 tahun lamanya, tapi tidak banyak yang beriman.
029:016-035	cobaan terhadap nabi ibrahim dan nabi lut selain menghadapi kaumnya juga dari keluarganya sendiri.
029:036-037	cobaan terhadap nabi syuaib dan kebinasaan kaumnya yang tertimpa gempa yang dahsyat.
029:038-039	cobaan terhadap nabi hud dan nabi shaleh, serta nabi musa as dalam menghadapi kaumnya.
029:040-044	setiap perlawanan terhadap kebenaran pasti berakhir dengan kekalahan atau kehancuran; dan perumpamaan bagi mereka.
029:045-052	salat dapat mencegah dari perbuatan yang keji dan mungkar; serta cara-cara berdebat dengan orang-orang non-islam yang tidak memercayai al-quran.
029:053-055	azab allah pasti akan datang pada waktunya baik diminta maupun tidak diminta oleh orang-orang yang durhaka.
029:056-059	kabar gembira untuk orang-orang yang beriman dan beramal saleh dengan balasan surga yang penuh kenikmatan.
029:060-063	allah menentukan rezeki tiap-tiap makhluknya; juga yang melapangkan atau menyempitkan rezeki bagi makhluknya.
029:064-066	dalam keadaan bahaya manusia mengakui kekuasaan allah, tetapi di kala senang banyak melupakan kehidupan akhirat dan terbuai oleh kehidupan dunia.
029:067-069	jaminan allah terhadap keamanan tanah suci dan orang-orang yang berjihad di jalannya.
030:001-007	kebenaran pemberitaan al-quran tentang peristiwa yang akan terjadi, yaitu berita kemenangan ahli kitab bangsa romawi atas kaum musyrikin bangsa persia.
030:008-010	kaum yang menentang nabi muhammad saw akan hancur sebagaimana halnya hancurnya kaum yang menentang nabi-nabi terdahulu.
030:011-019	bukti kebenaran hari kebangkitan dan penggolongan manusia pada hari itu kepada mukmin dan kafir.
030:020-029	bukti-bukti kekuasaan allah yang terdapat pada alam semesta merupakan tanda-tanda bagi orang yang berpikir, berilmu, mendengarkan, dan mempergunakan akalnya.
030:030-032	menurut fitrahnya manusia itu beragama tauhid, tetapi kebanyakan manusia menyekutukan allah.
030:033-036	sifat manusia yang tercela, jika disentuh bahaya baru mengingat allah, jika diberi rahmat justru melupakan allah, dan jika ditimpa musibah karena kesalahan sendiri maka berputus asa.
030:037-040	allah yang memberi rezeki kepada makhluknya, dan larangan allah terhadap perbuatan riba.
030:041-045	terjadinya kerusakan di darat dan di laut disebabkan oleh perbuatan manusia sendiri; dan pahala bagi orang yang beriman.
030:046-049	dengan memerhatikan kejadian pada alam semesta akan menambah iman terhadap allah swt.
030:050-057	bukti-bukti kekuasaan allah, menghidupkan orang mati, serta keadaan manusia pada hari kiamat.
030:058-060	anjuran untuk memerhatikan tamsil / perumpamaan yang terdapat dalam al-quran.
031:001-006	ayat-ayat al-quran mengandung hikmah, menjadi petunjuk dan rahmat bagi orang-orang yang berbuat kebaikan.
031:007-011	azab yang pedih bagi orang-orang yang berpaling dari al-quran dan balasan bagi orang-orang yang beriman.
031:012-019	allah memberikan hikmah kepada luqman dan nasihat luqman kepada anaknya baik tentang akidah, ibadah, maupun akhlak.
031:020-026	allah menundukkan segala apa yang di langit dan di bumi untuk kenikmatan hidup manusia, tetapi kebanyakan manusia mengingkari kekuasaannya.
031:027-034	perumpamaan luasnya ilmu allah yang tiada terhingga jika hendak ditulis; serta kebanyakan sifat manusia jika mendapat nikmat dan tertimpa musibah.
032:001-003	al-quran bukan buatan muhammad saw tetapi berisi kebenaran yang diturunkan dari rabb semesta alam.
032:004-006	alam semesta diciptakan oleh allah dalam enam masa; satu masa sama dengan seribu tahun perhitungan manusia.
032:007-011	proses kejadian manusia hingga disempurnakan dan kebangkitannya pada hari kiamat.
032:012-022	perbandingan antara orang-orang mukmin dan orang-orang kafir serta balasan bagi masing-masing mereka.
032:023-030	perintah allah untuk menerima al-quran dengan tidak ragu-ragu dan ancaman bagi orang-orang yang berpaling darinya.
033:001-003	perintah allah untuk mengikuti wahyu, bertakwa, dan bertawakal kepada allah.
033:004-005	hukum zhihar dalam islam dan kedudukan anak angkat tidak sama dengan anak kandung.
033:006-006	orang yang mempunyai hubungan darah lebih berhak dalam hukum faraidh (pembagian harta waris).
033:007-008	allah telah mengambil perjanjian dengan para nabi dalam kesanggupannya untuk menyampaikan agama kepada umatnya.
